Region,SITC1,SITC2,Value (£ 000's),Pop
Unallocated - Known,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",196133,
South East,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",151066,9180135
London,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",113443,8961989
East,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",97108,6236072
North West,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",86942,7341196
Yorkshire and The Humber,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",68386,5502967
East Midlands,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",52685,4835928
West Midlands,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",46439,5934037
South West,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",21710,5624037
North East,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",19191,2669941
Scotland,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",13707,5463300
Wales,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",10938,3152879
Northern Ireland,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",9844,1893667
Unallocated - Unknown,0 - Food & live animals,"07 - Coffee, tea, cocoa, spices & manufactures thereof",3597,
