letter,frequency
p,0.019021219652074175
r,0.05629898680940547
o,0.08181991970942458
j,0.002580768495507551
e,0.12597973618810934
c,0.01806537946855286
t,0.09634869049894858
g,0.024565092716497802
u,0.026094437010131907
n,0.0649015484610973
b,0.016153699101510228
s,0.06509271649780157
h,0.06604855668132288
i,0.06146052380042057
l,0.05171095392850315
d,0.037086599120627034
k,0.010992162110495125
f,0.022844580386159434
a,0.06862932517683043
y,0.021219652074173197
m,0.022366660294398776
w,0.029726629707512903
v,0.007264385394761996
q,0.0004779200917606576
x,0.00019116803670426305
z,0.0005735041101127892
